,Component_1,Component_2,Component_3,Component_4
12.2,0.04212591,0.022688568,0.38375044,0.07351331
12.22,0.05444694,0.01988498,0.35242954,0.071611755
12.24,0.09714911,0.009710139,0.24948224,0.04680071
12.26,0.19298993,0.010603872,0.12668762,0.12847641
12.280000000000001,0.33366936,0.025007173,0.05913538,0.25194487
12.3,0.46167544,0.023970101,0.06599829,0.28156415
12.32,0.49036565,0.020854345,0.03526266,0.11512537
12.34,0.4049144,0.024221372,0.009180125,0.20033008
12.36,0.2687165,0.022478994,0.00062337064,0.44320422
12.379999999999999,0.15635347,0.013086526,0.00016327227,0.46033782
12.4,0.08408486,0.0045151277,0.0,0.31888354
12.42,0.044750918,0.00991828,0.0,0.16925323
12.44,0.022775887,0.020678602,0.0021956412,0.074014395
12.46,0.010679942,0.017640471,0.012738655,0.026649075
12.48,0.004043191,0.0153820235,0.0022404941,0.008935661
12.5,0.008640009,0.022346865,0.0,0.008988862
12.52,0.019682456,0.0321913,0.0042828955,0.013916732
12.54,0.02341243,0.029903453,0.02780787,0.010251588
12.56,0.014357271,0.061738346,0.034425285,0.005748229
12.58,0.0042678057,0.12088483,0.02721693,0.0147472555
12.6,0.006537975,0.19161966,0.015756436,0.048974
12.620000000000001,0.019949634,0.22533074,0.0060803024,0.05237548
12.64,0.029659342,0.2027709,0.0049128495,0.019537661
12.66,0.027937623,0.14512457,0.004314756,0.00029808815
12.68,0.022201642,0.0915198,0.101456836,0.0
12.7,0.012500334,0.050803352,0.22174507,0.010627894
12.72,0.009589177,0.031127147,0.2970035,0.025788201
12.74,0.03286271,0.0172884,0.28114748,0.035119317
12.76,0.06699504,0.010603074,0.19887513,0.05145038
12.780000000000001,0.11145471,0.009855408,0.105954066,0.05373941
12.8,0.13913913,0.013758029,0.036865234,0.017100044
12.82,0.1371715,0.021023642,0.015643647,0.053373687
12.84,0.10785112,0.023456285,0.0037773366,0.13570392
12.86,0.08108561,0.014764808,0.002842248,0.13938223
12.879999999999999,0.056544743,0.008019161,0.0013351948,0.0896876
12.9,0.056692734,0.0082758395,0.0031773204,0.051330835
12.92,0.05406198,0.01002416,0.014686199,0.032045435
12.94,0.0,0.011379944,0.01983832,0.022976367
12.96,0.0,0.010847416,0.0,0.012191055
12.98,0.0,0.0068214713,0.0,0.0070080515
13.0,0.024006894,0.00899835,0.021292187,0.015972668
