,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
240,0.00085629907,0.00016494053,0.0013843231,6.726694e-06,0.00032338742,5.9837846e-05
245,0.0007698307,0.0002777157,0.0025482404,3.987112e-05,0.0003133942,2.2858465e-05
250,0.00039113525,7.0715796e-05,0.004905484,0.0014880717,2.573888e-05,1.1045007e-05
255,0.0008476681,0.00017539505,0.00012465866,0.0034697517,3.6540427e-05,0.00012481963
260,0.00079881574,0.00020321796,9.9617886e-05,0.006550353,4.5399614e-05,0.0001280934
265,0.0006572685,0.0001333414,5.4555192e-05,0.01174909,0.0039434107,1.7060302e-05
270,0.00067063683,0.00016151763,2.2535729e-05,0.00038107167,0.009322578,4.0074054e-05
275,0.00057211827,0.00016766967,8.452133e-06,7.0324284e-05,0.016001416,0.00071106455
280,0.0007767353,3.6280097e-05,4.212105e-05,3.4041987e-05,0.006209437,0.0018811177
285,0.00086665095,8.820114e-05,4.6745943e-05,4.925353e-05,0.0010544629,0.0028976873
290,0.00080170954,6.576768e-05,4.9055147e-05,2.5700569e-05,0.00039313512,0.005449907
295,0.0007210431,0.00015593143,5.103244e-05,6.5347913e-06,0.00012571053,0.011200156
300,0.0010943034,5.5197783e-05,6.2327344e-05,0.000111409594,0.00044622744,0.00032029915
305,0.0011440507,8.305062e-05,6.134145e-05,8.465206e-05,0.00046889466,0.00012571816
310,0.0011640447,8.25728e-05,6.826436e-05,0.000104895415,0.00041562627,0.00010254868
315,0.0011654622,0.00012119404,7.516931e-05,9.848762e-05,0.00035260955,8.339855e-05
320,0.0012520042,0.00014154047,7.6752185e-05,9.4754636e-05,0.00036149516,6.0691924e-05
325,0.0013047089,0.00021596052,8.585818e-05,9.1805116e-05,0.0003213873,5.517035e-05
330,0.0013476138,0.0003108268,8.98781e-05,9.3136136e-05,0.00032128886,5.612363e-05
335,0.0013188062,0.0005395006,9.009794e-05,7.3636766e-05,0.000254595,3.626385e-05
340,0.001316821,0.0006654591,9.520218e-05,6.690408e-05,0.00027577576,4.1445073e-05
345,0.0012204298,0.0009185402,0.00010444061,5.436428e-05,0.0002347638,3.292803e-05
350,0.0011563413,0.0010801556,0.00011232697,5.3431242e-05,0.00020187588,3.874938e-05
355,0.0009603681,0.0013999109,0.00010532354,5.8925663e-05,0.00015131895,3.58921e-05
360,0.00082443556,0.0015599371,0.00011396341,2.8070199e-05,0.00021140283,4.3186013e-05
365,0.00064228807,0.001762912,0.00011947732,2.9140903e-05,0.00017214222,3.6421156e-05
370,0.00057556404,0.0018098627,0.00013035242,4.292015e-05,0.00015259467,4.6235084e-05
375,0.0004477627,0.001973242,0.00013542596,4.7395908e-05,0.00021981403,3.074007e-05
380,0.00042340264,0.0020949848,0.00014394666,7.7804725e-05,0.0001553476,3.643845e-05
385,0.00030948175,0.0023200512,0.00015927918,8.119678e-05,0.00014786964,5.969996e-05
390,0.0002885833,0.0023828605,0.00016602447,7.6550794e-05,0.00023206699,7.243397e-05
395,0.0001763072,0.0024335617,0.00017094857,8.663193e-05,0.00025480828,7.619642e-05
400,0.00015365948,0.0023163387,0.0001702214,0.00011022785,0.0002802363,7.234974e-05
405,9.420632e-05,0.002167063,0.00017467045,0.00015041369,0.000285115,8.3699124e-05
410,8.797854e-05,0.0020064972,0.00017796305,0.00017457247,0.0003806299,6.971915e-05
415,7.8935045e-05,0.001740931,0.0001705958,0.00021114064,0.00042833854,8.4427156e-05
420,8.0086924e-05,0.0016048284,0.00017588906,0.00021939917,0.00049100333,9.0298316e-05
425,2.4973082e-05,0.0015857997,0.00020712861,0.00022593458,0.0005384499,0.0001005061
430,2.8527838e-05,0.0015478027,0.00014491737,0.00025368275,0.00053305284,0.0001109493
435,2.7845479e-05,0.001382693,0.00013350278,0.00027571127,0.00060642936,0.00012043137
440,2.8802058e-05,0.0013427474,0.00011523912,0.00027814182,0.0005767186,0.00012344231
445,3.0084097e-05,0.0011828904,0.00011291332,0.00036493083,0.0005958872,0.00013706219
450,2.5344127e-05,0.0012140147,9.4213865e-05,0.00035368252,0.00055293797,0.00013581735
455,3.9067927e-05,0.0009804646,9.2744136e-05,0.00023468542,0.0006436705,0.00015295297
460,2.5083076e-05,0.0010444247,7.895931e-05,0.00021358674,0.0006881246,0.00015847749
465,3.176466e-05,0.0007811883,8.421969e-05,0.00026117975,0.00088762067,0.00015909626
470,3.372142e-05,0.00043576313,0.000151718,0.0003114599,0.00057426986,0.00018363757
475,1.0464557e-05,0.00034214364,0.0001432455,0.00029877323,0.00064818055,0.00018585284
480,2.861525e-05,0.00013886187,0.0001767654,0.0002694939,0.00069052185,0.00020261109
485,2.9718045e-05,0.000103488535,0.00018692705,0.0002467221,0.00074568286,0.00016112842
490,2.8553932e-05,0.00015970292,0.00029239774,0.0001544357,0.00072653283,0.0001169482
495,4.019959e-05,0.00010087281,0.00035265496,0.000114979004,0.000695635,0.00010349893
