,Fluorophore_Component_1,Fluorophore_Component_2,Fluorophore_Component_3
300.0,0.0,0.0,0.0
302.52525252525254,0.0,0.0,0.0
305.050505050505,0.0,0.0,0.0
307.57575757575756,0.0,0.0,0.0
310.1010101010101,0.0,0.0,0.0
312.62626262626264,0.0,0.0,0.0
315.1515151515151,0.0,0.0,0.0
317.67676767676767,0.0,0.0,0.0
320.2020202020202,0.0,0.0,0.0
322.72727272727275,0.0,0.0,0.0
325.25252525252523,0.0,0.0,0.0
327.77777777777777,0.0,0.0,0.0
330.3030303030303,0.0,0.0,0.0
332.8282828282828,0.0,0.0,0.0
335.35353535353534,0.0,0.0,0.0
337.8787878787879,0.0,0.0,0.0
340.4040404040404,0.0,0.0,0.0
342.92929292929296,0.0,0.0,0.0
345.45454545454544,0.0,0.0,0.0
347.979797979798,0.0,0.0,0.0
350.5050505050505,0.0,0.0,0.0
353.030303030303,0.0,0.0,0.0
355.55555555555554,0.0,0.0,0.0
358.0808080808081,0.0,0.0,0.0
360.6060606060606,0.0,0.0,0.0
363.1313131313131,0.0,0.0,0.0
365.65656565656565,0.0,0.0,0.0
368.1818181818182,0.0,0.0,0.0
370.70707070707067,0.0,0.0,0.0
373.2323232323232,0.0,0.0,0.0
375.75757575757575,0.0,0.0,0.0
378.2828282828283,0.0,0.0,0.0
380.80808080808083,0.0,0.0,0.0
383.3333333333333,0.0,0.0,0.0
385.85858585858585,0.0,0.0,0.0
388.3838383838384,0.0,0.0,0.0
390.9090909090909,0.0,0.0,0.0
393.4343434343434,0.0,0.0,0.0
395.95959595959596,0.0,0.0,0.0
398.4848484848485,0.0,0.0,0.0
401.01010101010104,0.0,0.0,0.0
403.5353535353535,0.0,0.0,0.0
406.06060606060606,0.0,0.0,0.0
408.58585858585855,0.0,0.0,0.0
411.1111111111111,0.0,0.0,0.0
413.6363636363636,0.0,0.0,0.0
416.16161616161617,0.0,0.0,0.0
418.6868686868687,0.0,0.0,0.0
421.2121212121212,0.0,0.0,0.0
423.73737373737373,0.0,0.0,0.0
426.26262626262627,0.0,0.0,0.0
428.78787878787875,0.0,0.0,0.0
431.3131313131313,0.0,0.0,0.0
433.83838383838383,0.0,0.0,0.0
436.3636363636364,0.0,0.0,0.0
438.8888888888889,0.0,0.0,0.0
441.4141414141414,0.0,0.0,0.0
443.93939393939394,0.0,0.0,0.0
446.4646464646464,0.0,0.0,0.0
448.98989898989896,0.0,0.0,0.0
451.5151515151515,0.0,0.0,0.0
454.04040404040404,0.0,0.0,0.0
456.5656565656566,0.0,0.0,0.0
459.0909090909091,0.0,0.0,0.0
461.6161616161616,0.0,0.0,0.0
464.1414141414141,0.0,0.0,0.0
466.66666666666663,0.0,0.0,0.0
469.19191919191917,0.0,0.0,0.0
471.7171717171717,0.0,0.0,0.0
474.24242424242425,0.0,0.0,0.0
476.7676767676768,0.0,0.0,0.0
479.2929292929293,0.0,0.0,0.0
481.8181818181818,0.0,0.0,0.0
484.3434343434343,0.0,0.0,0.0
486.86868686868684,0.0,0.0,0.0
489.3939393939394,0.0,0.0,0.0
491.9191919191919,0.0,0.0,0.0
494.44444444444446,0.0,0.0,0.0
496.969696969697,0.0,0.0,0.0
499.4949494949495,0.0,0.0,0.0
502.020202020202,0.0,0.0,0.0
504.5454545454545,0.0,0.0,0.0
507.07070707070704,0.0,0.0,0.0
509.5959595959596,0.0,0.0,0.0
512.1212121212121,0.0,0.0,0.0
514.6464646464647,0.0,0.0,0.0
517.1717171717171,0.0,0.0,0.0
519.6969696969697,0.0,0.0,0.0
522.2222222222222,0.0,0.0,0.0
524.7474747474747,0.0,0.0,0.0
527.2727272727273,0.0,0.0,0.0
529.7979797979798,0.0,0.0,0.0
532.3232323232323,0.0,0.0,0.0
534.8484848484849,0.0,0.0,0.0
537.3737373737374,0.0,0.0,0.0
539.8989898989898,0.0,0.0,0.0
542.4242424242424,0.0,0.0,0.0
544.9494949494949,0.0,0.0,0.0
547.4747474747475,0.0,0.0,0.0
550.0,0.0,0.0,0.0
